COUNTRY,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,KAZ,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR,UKR
POLLUTANT,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,CH4,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O,N2O
ACTIVITY,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C10-C12,C10-C12,C16-C18,C16-C18,C19,C19,C20-C21,C20-C21,C22-C23,C22-C23,C24-C25,C24-C25,C-NS,C-NS,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C10-C12,C10-C12,C16-C18,C16-C18,C19,C19,C20-C21,C20-C21,C22-C23,C22-C23,C24-C25,C24-C25,C-NS,C-NS,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C10-C12,C10-C12,C16-C18,C16-C18,C19,C19,C20-C21,C20-C21,C22-C23,C22-C23,C24-C25,C24-C25,C-NS,C-NS,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C,A,A,D,D,E,E,F,F,H,H,SERVICES,SERVICES,HH-TOTAL,HH-TOTAL,B,B,C,C
MEASURE,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E,TCO2E
EMISSION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION,TOTAL,COMBUSTION
2007,23106.445,22591.137,442920.563,429791.281,3132.938,3132.938,10766.307,10475.52,100630.938,100570.766,100628.26,99699.649,162799.656,162799.656,834.906,832.384,455230.969,400298.844,25139.525,60.245,7759.347,81.478,2.197,2.197,20.847,19.886,134.455,130.989,519.006,504.321,277.294,277.294,590.974,1.2,889.038,743.031,10674.924,146.732,5625.878,1958.737,31.523,31.523,95.983,76.417,995.529,979.745,605.957,435.59,1187.746,1187.746,8.694,7.489,5203.41,2528.872,54365.145,46143.641,2297419.0,2286583.25,19397.219,19397.219,237015.859,237015.859,671375.625,670116.813,579865.271,576633.131,1074309.625,1074309.625,67618.133,54860.164,1129610.875,923501.063,250762.938,59.301,80151.039,781.902,140166.453,23.407,402.131,402.131,10160.41,6303.119,11263.008,1359.22,5154.725,5154.725,162495.188,104.403,29307.32,1613.316,288846.0,832.248,12746.972,12676.664,6424.35,133.109,2650.087,2421.64,7132.715,6972.95,8003.008,5120.662,18368.322,18368.322,293.629,214.875,30502.527,3969.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32008.202,30091.527,817759.875,817683.438,1923.157,1915.295,22137.67,22047.555,150784.666,137384.497,42818.149,33710.538,162664.0,162664.0,64523.219,33722.781,5908.088,5846.659,3997.361,3983.086,61894.582,42117.352,47740.731,7865.998,42663.759,2826.693,174395.445,60965.693,16509.497,16432.01,56186.433,279.426,49753.082,495.262,83718.674,11.588,95.112,95.112,88860.008,257.166,57547.25,420.481,1833.794,1833.794,307776.625,84.852,43.472,43.472,16.808,16.808,109087.391,63.983,426.278,20.65,16.813,16.813,35478.553,123.541,67.579,67.579,79295.613,122.576,1787.186,1760.961,2701.526,19.001,147.75,110.89,1416.555,1347.315,502.849,266.851,1032.363,1032.363,186.355,59.531,48.575,23.449,23.005,17.166,138.587,57.103,4610.438,14.601,22.179,14.095,212.057,158.516,81.397,49.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,20300.9,19846.938,416945.063,402175.156,3047.856,3047.856,9693.333,9439.805,97629.172,97574.656,104134.406,103297.062,156081.484,156081.484,798.73,796.407,420613.531,369924.375,25245.512,61.296,7388.263,79.207,2.044,2.044,21.434,20.646,124.623,121.428,505.646,492.387,257.993,257.993,571.896,1.148,885.519,746.19,9988.091,129.72,5526.451,1901.782,32.176,32.176,87.993,71.362,997.746,983.896,592.945,442.676,1039.943,1039.943,8.776,7.586,5280.793,2468.22,52563.477,43925.84,2246439.0,2235959.5,18682.602,18682.602,214857.953,214857.953,639211.0,637871.5,568200.701,564902.201,1042841.125,1042841.125,76330.922,62544.16,1073642.25,882256.813,247065.063,55.673,77480.734,761.514,137981.5,23.759,360.109,360.109,9416.025,5500.38,11000.863,1358.649,5348.779,5348.779,180118.25,118.63,29039.623,1525.009,283701.844,777.9,12816.172,12739.395,6406.841,126.331,2469.729,2258.635,6860.932,6699.372,7674.178,4812.431,16834.504,16834.504,334.556,239.333,20420.818,3753.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33417.939,31593.487,840334.375,840260.063,1998.495,1990.902,25248.902,25161.861,153335.491,139997.129,44791.582,35739.791,169751.594,169751.594,62129.348,36237.816,7154.482,7095.149,3945.371,3931.582,56883.496,40260.258,49193.893,9764.054,38983.361,3171.89,173566.539,66126.467,19059.011,18984.169,57249.641,240.537,50308.832,503.938,85470.352,11.905,101.679,101.679,88356.665,260.01,57247.846,447.439,1768.881,1768.881,308059.625,92.959,48.333,48.333,16.366,16.366,108002.414,65.349,445.842,24.355,18.156,18.156,34931.149,134.447,73.892,73.892,77854.837,119.725,1909.984,1883.649,2732.951,18.615,150.95,113.935,1301.036,1231.745,510.123,273.286,1044.592,1044.592,174.9,64.573,50.927,25.695,21.376,15.512,122.55,51.665,4187.937,19.312,22.617,14.498,218.284,172.697,85.625,53.797,1257.267,760.585,117644.828,116869.727,181.934,127.38,907.645,891.699,15701.031,15650.289,5978.62,5836.404,59999.281,59999.281,2590.667,1558.845,121471.242,39013.504,14494.351,4.487,17880.986,50.05,10097.037,0.939,2.804,2.388,376.061,38.122,627.544,40.01,556.32,556.32,47023.547,4.725,4490.104,61.596,22155.824,10.783,392.213,390.094,1169.684,1.058,11.057,6.703,664.716,660.63,89.369,67.481,536.885,536.885,15.512,3.22,4586.281,65.363
2009,23279.26,22874.887,375319.469,363242.688,2921.915,2921.915,10198.667,9909.255,92424.094,92373.375,101763.208,100846.306,157385.141,157385.141,783.84,781.511,396127.0,351190.25,24808.719,66.075,7021.935,76.444,1.908,1.908,24.657,23.969,110.872,107.819,464.447,451.603,251.61,251.61,560.515,1.194,846.464,722.777,9765.049,140.174,5349.485,1812.553,31.686,31.686,88.227,73.147,973.369,961.525,576.018,434.053,920.714,920.714,8.709,7.559,5289.037,2386.367,50027.379,42803.094,2032718.125,2021680.25,17369.857,17369.857,206446.156,206446.156,579976.0,578548.0,558744.838,555081.291,1025443.938,1025443.938,57551.992,45497.648,967110.188,817763.563,248139.266,53.829,81750.664,749.205,135616.969,23.523,334.459,334.459,8963.776,5005.478,11517.377,1362.299,5469.285,5469.285,172287.391,83.136,27918.77,1375.062,288222.281,747.098,12575.835,12511.365,6276.79,119.115,2357.562,2161.776,6471.279,6322.106,7641.316,4643.623,16042.521,16042.521,239.895,173.216,18542.945,3470.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31375.141,29671.813,782281.438,782224.438,1992.813,1987.224,25122.6,25058.547,134177.528,120673.061,42337.185,33297.636,173764.969,173764.969,59426.398,32792.488,6762.563,6718.901,4631.575,4621.428,59018.48,41917.395,47482.526,10715.85,32015.254,3091.879,153232.941,56394.873,18816.928,18761.852,56965.299,264.251,42469.633,479.047,87433.051,11.907,106.159,106.159,89484.029,251.495,57988.552,455.789,1584.442,1584.442,294034.875,96.978,48.71,48.71,21.513,21.513,109437.383,73.847,368.597,24.331,18.757,18.757,35384.752,124.61,78.346,78.346,78520.549,117.977,1769.046,1742.036,2748.395,17.894,154.424,116.462,1197.428,1126.668,509.836,267.133,1037.278,1037.278,179.431,66.285,49.379,23.501,28.928,22.914,135.564,62.868,5156.059,15.839,22.869,14.542,197.971,151.055,90.505,57.863,1068.405,725.874,105176.547,104296.133,141.782,86.846,645.992,634.617,11887.065,11833.799,5116.656,4976.567,56603.898,56603.898,2378.351,1452.934,94150.961,28773.758,14090.147,4.3,17371.398,51.716,10079.474,0.757,2.608,2.074,395.588,31.688,637.614,40.67,536.199,536.199,41071.512,4.8,3227.961,55.733,20761.146,9.901,373.087,366.371,1141.398,0.903,15.304,5.738,587.705,575.436,126.258,61.585,496.197,496.197,18.274,2.799,2211.629,53.524
